R03-01-E Q0 32 1 0.807768881 CAPTAIN
R03-01-E Q0 31 2 0.736928046 CAPTAIN
R03-01-E Q0 30 3 0.637813747 CAPTAIN
R03-01-I Q0 30 1 0.863122821 CAPTAIN
R03-01-I Q0 31 2 0.826954782 CAPTAIN
R03-01-I Q0 32 3 0.815826595 CAPTAIN
R03-01-O Q0 31 1 0.834210157 CAPTAIN
R03-01-O Q0 32 2 0.829146206 CAPTAIN
R03-01-O Q0 30 3 0.779333413 CAPTAIN
R03-02-A Q0 93 1 0.853117228 CAPTAIN
R03-02-E Q0 96 1 0.834776878 CAPTAIN
R03-02-I Q0 96 1 0.806065679 CAPTAIN
R03-02-I Q0 93 2 0.795958877 CAPTAIN
R03-02-O Q0 96 1 0.827083528 CAPTAIN
R03-03-A Q0 543 1 0.059474997 CAPTAIN
R03-03-E Q0 97 1 0.453731328 CAPTAIN
R03-03-I Q0 541 1 0.103994854 CAPTAIN
R03-03-O Q0 98 1 0.098813683 CAPTAIN
R03-03-U Q0 97 1 0.175493747 CAPTAIN
R03-04-A Q0 140 1 0.834988594 CAPTAIN
R03-04-E Q0 20 1 0.798163235 CAPTAIN
R03-04-I Q0 140 1 0.231653988 CAPTAIN
R03-04-O Q0 20 1 0.826200128 CAPTAIN
R03-04-U Q0 142 1 0.838143706 CAPTAIN
R03-05-A Q0 150 1 0.853408515 CAPTAIN
R03-05-A Q0 147 2 0.774938405 CAPTAIN
R03-05-A Q0 154 3 0.588553905 CAPTAIN
R03-05-A Q0 153 4 0.565849900 CAPTAIN
R03-05-O Q0 149 1 0.661803007 CAPTAIN
R03-05-O Q0 166 2 0.511970162 CAPTAIN
R03-05-U Q0 150 1 0.805362523 CAPTAIN
R03-05-U Q0 147 2 0.689577520 CAPTAIN
R03-07-A Q0 179 1 0.828086257 CAPTAIN
R03-07-E Q0 9 1 0.826222420 CAPTAIN
R03-07-I Q0 96 1 0.818285346 CAPTAIN
R03-07-O Q0 281 1 0.722878575 CAPTAIN
R03-08-A Q0 201 1 0.806042314 CAPTAIN
